City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,acaponeta,22.4964,-105.3594,29.99,43,4,2.34,MX,1702335128
83,okha,53.5739,142.9478,-20.64,86,62,9.78,RU,1702335129
84,danghara,38.0958,69.34,7.66,88,100,4.63,TJ,1702335130
85,tiksi,71.6872,128.8694,-22.07,99,100,3.67,RU,1702335131
86,invercargill,-46.4,168.35,11.14,53,64,8.94,NZ,1702334870
87,udachny,66.4167,112.4,-24.85,97,100,3.83,RU,1702335133
88,nogliki,51.8333,143.1667,-22.03,93,9,4.02,RU,1702335134
89,smithers,54.7804,-127.1743,-3.82,93,100,1.03,CA,1702335135
90,thompson,55.7435,-97.8558,-12.91,85,100,6.17,CA,1702335136
91,kupang,-10.1667,123.5833,27.32,100,75,1.03,ID,1702335138
92,mitu,1.1983,-70.1733,23.98,96,96,0.43,CO,1702335139
93,ussel,45.55,2.3167,10.49,98,100,3.45,FR,1702335140
94,mudurnu,40.473,31.2076,6.98,85,100,1.04,TR,1702335142
95,adamstown,-25.066,-130.1015,21.7,60,1,1.41,PN,1702335143
96,whitehorse,60.7161,-135.0538,0.43,74,75,8.75,CA,1702335144
97,longyearbyen,78.2186,15.6401,-6.09,68,75,5.14,SJ,1702335145
98,santa maria da vitoria,-13.3947,-44.1886,27.41,45,60,1.49,BR,1702335146
99,pacific grove,36.6177,-121.9166,17.23,67,0,4.02,US,1702335147
100,yatou,37.15,122.3833,1.38,87,100,6.5,CN,1702335150
101,sitka,57.0531,-135.33,6.94,76,100,5.66,US,1702335151
102,cam ranh,11.9214,109.1591,24.98,83,20,3.09,VN,1702335152
103,harstad,68.799,16.5293,-1.58,93,70,1.76,NO,1702335153
104,puerto leguizamo,-0.1934,-74.7819,24.24,94,91,0.94,CO,1702335154
105,port douglas,-16.4833,145.4667,29.93,63,66,2.67,AU,1702335155
106,mount isa,-20.7333,139.5,27.87,34,0,5.66,AU,1702335156
107,georgetown,5.4112,100.3354,26.08,94,20,1.03,MY,1702335086
108,genhe,50.7833,121.5167,-38.19,100,41,0.24,CN,1702335159
109,lukoyanov,55.0277,44.4786,-11.16,94,100,9.04,RU,1702335161
110,afaahiti,-17.75,-149.2833,29.93,79,96,10.1,PF,1702335162
111,gao,16.6362,1.637,18.55,27,0,5.44,ML,1702335163
112,khovd,48.0056,91.6419,-17.15,80,100,0.7,MN,1702335164
113,las lomitas,-24.7096,-60.593,28.09,57,52,2.74,AR,1702335165
114,nemuro,43.3236,145.575,1.96,70,100,7.15,JP,1702335166
115,horta,38.5333,-28.6333,12.79,81,9,2.68,PT,1702335167
116,howrah,22.5892,88.3103,16.0,88,0,2.06,IN,1702335168
117,lihue,21.9789,-159.3672,27.58,78,40,4.12,US,1702335169
118,antalaha,-14.9003,50.2788,23.7,88,12,2.29,MG,1702335170
119,vilyuchinsk,52.9306,158.4028,-8.85,84,17,3.5,RU,1702335171
120,talnakh,69.4865,88.3972,-26.45,98,100,4.67,RU,1702335172
121,hau-ri,41.2006,129.4703,-9.11,95,92,1.16,KP,1702335173
122,manistee,44.2445,-86.3242,-0.55,82,100,5.66,US,1702335174
123,vila velha,-20.3297,-40.2925,26.97,84,20,6.17,BR,1702335054
124,fort st. john,56.2499,-120.8529,-2.06,59,75,8.75,CA,1702335177
125,shuangjiang,26.1547,109.7138,5.5,92,99,2.01,CN,1702335178
126,sittwe,20.15,92.9,19.89,83,9,1.53,MM,1702335179
127,puerto ayora,-0.7393,-90.3518,28.98,79,63,3.56,EC,1702335180
128,fale old settlement,-9.3852,-171.2468,28.79,77,100,9.77,TK,1702335181
129,gobabis,-22.45,18.9667,23.36,11,15,5.45,NA,1702335182
130,badger,64.8,-147.5333,-7.07,84,75,1.54,US,1702335183
131,ulanhot,46.0833,122.0833,-20.91,86,22,0.86,CN,1702335184
132,ifrane,33.3333,-5.25,10.61,50,84,1.28,MA,1702335185
133,macau,22.2006,113.5461,23.17,94,0,3.09,MO,1702335186
134,tazovsky,67.4667,78.7,-25.46,95,100,3.89,RU,1702335123
135,lebu,-37.6167,-73.65,14.73,76,100,2.72,CL,1702335189
136,port elizabeth,-33.918,25.5701,17.95,93,1,4.47,ZA,1702335190
137,tommot,58.9564,126.2925,-29.11,93,100,3.83,RU,1702335192
138,luquillo,18.3725,-65.7166,27.96,86,100,3.6,PR,1702335193
139,klyuchi,52.2667,79.1667,-24.27,87,31,6.4,RU,1702335194
140,arkhangel'sk,64.5401,40.5433,-13.94,77,40,3.0,RU,1702334920
141,kurumkan,54.3,110.3,-26.6,90,21,1.79,RU,1702335196
142,qaqortoq,60.7167,-46.0333,-1.1,96,100,4.76,GL,1702335197
143,tsiombe,-25.3,45.4833,23.89,92,81,1.23,MG,1702335198
144,mount gambier,-37.8333,140.7667,24.42,60,60,3.76,AU,1702335199
145,bredasdorp,-34.5322,20.0403,17.29,85,52,5.76,ZA,1702335200
146,holualoa,19.6228,-155.9522,26.59,80,40,3.6,US,1702335201
147,fenyi,27.8112,114.6681,7.19,86,100,1.43,CN,1702335202
148,leticia,-4.2153,-69.9406,30.03,70,20,1.54,CO,1702335203
149,tomatlan,19.9333,-105.25,31.6,42,5,2.37,MX,1702335204
150,isafjordur,66.0755,-23.124,-4.58,81,91,1.39,IS,1702335205
151,abepura,-2.6333,140.5833,27.45,83,20,2.06,ID,1702335207
152,arraial do cabo,-22.9661,-42.0278,22.98,94,75,0.51,BR,1702335105
153,atafu village,-8.5421,-172.5159,28.53,80,100,11.06,TK,1702335209
154,lincoln city,44.9582,-124.0179,11.51,94,60,3.58,US,1702334931
155,phan rang-thap cham,11.5667,108.9833,21.37,87,91,2.92,VN,1702335211
156,vereshchagino,58.0789,54.6557,-33.53,97,69,2.25,RU,1702335212
157,saipan,15.1355,145.701,28.39,78,40,6.69,MP,1702335213
158,tura,25.5198,90.2201,14.5,89,0,1.44,IN,1702335214
159,arteche,12.2645,125.4048,25.99,89,76,2.59,PH,1702335215
160,yakeshi,49.2833,120.7333,-39.4,100,91,1.15,CN,1702335216
161,butig,7.7244,124.3008,20.46,82,62,1.1,PH,1702335217
162,quellon,-43.1167,-73.6167,11.09,88,100,2.81,CL,1702335218
163,murzuq,25.9155,13.9184,11.99,42,0,2.69,LY,1702335219
164,mahina,-17.5065,-149.489,30.87,62,20,3.6,PF,1702335220
165,happy valley-goose bay,53.3168,-60.3315,-0.83,86,100,1.54,CA,1702335222
166,lazaro cardenas,17.9583,-102.2,29.24,58,78,2.72,MX,1702335223
167,cidade velha,14.9167,-23.6167,24.26,78,22,6.69,CV,1702335224
168,charlotte,35.2271,-80.8431,8.05,64,1,0.45,US,1702334935
169,kimbe,-5.5502,150.1429,28.06,82,95,0.62,PG,1702335226
170,vadso,70.0744,29.7487,-9.91,79,20,4.63,NO,1702335227
171,fort mcmurray,56.7268,-111.381,-9.23,57,0,2.06,CA,1702335228
